n_mfcc;delta_mode;norm_mode;n_components;covariance_type;n_mels;accuracy
2;2;1;12;full;10;
2;2;1;12;full;12;
2;2;1;12;full;14;
2;2;1;12;full;16;
2;2;1;12;full;18;
2;2;1;12;full;20;
2;2;1;12;diag;2;
2;2;1;12;diag;4;
2;2;1;12;diag;6;
2;2;1;12;diag;8;
2;2;1;12;diag;10;
2;2;1;12;diag;12;
2;2;1;12;diag;14;
2;2;1;12;diag;16;
2;2;1;12;diag;18;
2;2;1;12;diag;20;
2;2;1;14;full;2;
2;2;1;14;full;4;
2;2;1;14;full;6;
2;2;1;14;full;8;
2;2;1;14;full;10;
2;2;1;14;full;12;
2;2;1;14;full;14;
2;2;1;14;full;16;
2;2;1;14;full;18;
2;2;1;14;full;20;
2;2;1;14;diag;2;
2;2;1;14;diag;4;
2;2;1;14;diag;6;
2;2;1;14;diag;8;
2;2;1;14;diag;10;
2;2;1;14;diag;12;
2;2;1;14;diag;14;
2;2;1;14;diag;16;
2;2;1;14;diag;18;
2;2;1;14;diag;20;
2;2;1;16;full;2;
2;2;1;16;full;4;
2;2;1;16;full;6;
2;2;1;16;full;8;
2;2;1;16;full;10;
2;2;1;16;full;12;
2;2;1;16;full;14;
2;2;1;16;full;16;
2;2;1;16;full;18;
2;2;1;16;full;20;
2;2;1;16;diag;2;
2;2;1;16;diag;4;
2;2;1;16;diag;6;
2;2;1;16;diag;8;
2;2;1;16;diag;10;
2;2;1;16;diag;12;
2;2;1;16;diag;14;
2;2;1;16;diag;16;
2;2;1;16;diag;18;
2;2;1;16;diag;20;
2;2;1;18;full;2;
2;2;1;18;full;4;
2;2;1;18;full;6;
2;2;1;18;full;8;
2;2;1;18;full;10;
2;2;1;18;full;12;
2;2;1;18;full;14;
2;2;1;18;full;16;
2;2;1;18;full;18;
2;2;1;18;full;20;
2;2;1;18;diag;2;
2;2;1;18;diag;4;
2;2;1;18;diag;6;
2;2;1;18;diag;8;
2;2;1;18;diag;10;
2;2;1;18;diag;12;
2;2;1;18;diag;14;
2;2;1;18;diag;16;
2;2;1;18;diag;18;
2;2;1;18;diag;20;
2;2;1;20;full;2;
2;2;1;20;full;4;
2;2;1;20;full;6;
2;2;1;20;full;8;
2;2;1;20;full;10;
2;2;1;20;full;12;
2;2;1;20;full;14;
2;2;1;20;full;16;
2;2;1;20;full;18;
2;2;1;20;full;20;
2;2;1;20;diag;2;
2;2;1;20;diag;4;
2;2;1;20;diag;6;
2;2;1;20;diag;8;
2;2;1;20;diag;10;
2;2;1;20;diag;12;
2;2;1;20;diag;14;
2;2;1;20;diag;16;
2;2;1;20;diag;18;
2;2;1;20;diag;20;
2;2;2;2;full;2;
2;2;2;2;full;4;
2;2;2;2;full;6;
2;2;2;2;full;8;
2;2;2;2;full;10;
2;2;2;2;full;12;
2;2;2;2;full;14;
2;2;2;2;full;16;
2;2;2;2;full;18;
2;2;2;2;full;20;
2;2;2;2;diag;2;
2;2;2;2;diag;4;
